"","race","gender","total_months_incarcerated"
"1","Non-Black / Non-Hispanic","Female",0
"2","Hispanic","Male",0
"3","Hispanic","Female",0
"4","Hispanic","Female",0
"5","Hispanic","Male",0
"6","Hispanic","Female",0
"7","Hispanic","Male",0
"8","Non-Black / Non-Hispanic","Female",0
"9","Non-Black / Non-Hispanic","Male",0
"10","Non-Black / Non-Hispanic","Male",0
"11","Hispanic","Female",0
"12","Hispanic","Male",0
"13","Hispanic","Male",0
"14","Hispanic","Male",0
"15","Hispanic","Female",0
"16","Hispanic","Male",0
"17","Hispanic","Female",0
"18","Black","Male",0
"19","Black","Male",0
"20","Black","Male",0
"21","Hispanic","Male",0
"22","Hispanic","Male",0
"23","Hispanic","Female",0
"24","Hispanic","Male",0
"25","Hispanic","Female",0
"26","Black","Male",0
"27","Black","Male",0
"28","Black","Female",0
"29","Non-Black / Non-Hispanic","Male",0
"30","Non-Black / Non-Hispanic","Female",0
"31","Non-Black / Non-Hispanic","Female",0
"32","Non-Black / Non-Hispanic","Female",0
"33","Non-Black / Non-Hispanic","Male",0
"34","Non-Black / Non-Hispanic","Female",0
"35","Non-Black / Non-Hispanic","Female",0
"36","Non-Black / Non-Hispanic","Female",0
"37","Hispanic","Male",0
"38","Non-Black / Non-Hispanic","Female",0
"39","Non-Black / Non-Hispanic","Female",0
"40","Non-Black / Non-Hispanic","Male",0
"41","Black","Female",0
"42","Hispanic","Male",0
"43","Black","Female",0
"44","Black","Male",0
"45","Black","Female",0
"46","Black","Female",0
"47","Black","Female",0
"48","Black","Female",0
"49","Black","Male",0
"50","Black","Male",0
"51","Black","Female",0
"52","Black","Female",0
"53","Hispanic","Female",0
"54","Non-Black / Non-Hispanic","Female",0
"55","Black","Male",0
"56","Black","Male",0
"57","Black","Female",0
"58","Non-Black / Non-Hispanic","Male",0
"59","Black","Female",0
"60","Black","Male",0
"61","Black","Female",0
"62","Black","Male",0
"63","Black","Male",0
"64","Black","Male",0
"65","Black","Male",0
"66","Black","Male",0
"67","Black","Female",0
"68","Black","Male",0
"69","Black","Male",0
"70","Black","Female",0
"71","Black","Male",0
"72","Non-Black / Non-Hispanic","Male",0
"73","Non-Black / Non-Hispanic","Male",0
"74","Non-Black / Non-Hispanic","Male",0
"75","Hispanic","Female",0
"76","Non-Black / Non-Hispanic","Female",0
"77","Hispanic","Male",0
"78","Black","Male",0
"79","Black","Female",0
"80","Hispanic","Male",0
"81","Hispanic","Male",0
"82","Hispanic","Female",0
"83","Non-Black / Non-Hispanic","Male",5
"84","Non-Black / Non-Hispanic","Female",0
"85","Hispanic","Male",0
"86","Non-Black / Non-Hispanic","Male",0
"87","Non-Black / Non-Hispanic","Male",0
"88","Hispanic","Male",0
"89","Hispanic","Female",0
"90","Non-Black / Non-Hispanic","Male",0
"91","Hispanic","Male",0
"92","Black","Female",0
"93","Hispanic","Male",0
"94","Non-Black / Non-Hispanic","Male",0
"95","Hispanic","Male",0
"96","Non-Black / Non-Hispanic","Male",0
"97","Hispanic","Male",0
"98","Black","Female",0
"99","Black","Female",0
"100","Hispanic","Female",0
"101","Hispanic","Female",0
"102","Non-Black / Non-Hispanic","Female",0
"103","Non-Black / Non-Hispanic","Male",0
"104","Non-Black / Non-Hispanic","Male",0
"105","Non-Black / Non-Hispanic","Female",0
"106","Non-Black / Non-Hispanic","Male",0
"107","Non-Black / Non-Hispanic","Female",0
